#RPLIDAR SCAN DATA
#COUNT=624
#Angule	Distance	Quality
161.5265 7224.0 188
162.3230 7464.0 188
162.7295 7440.0 188
163.9325 7088.0 188
164.3390 7368.0 188
164.7290 7336.0 188
165.1355 7256.0 188
165.5420 7200.0 188
165.9375 7144.0 188
166.3385 7096.0 188
166.7450 7080.0 188
167.1405 7048.0 188
167.5415 7000.0 188
167.9480 6960.0 188
168.3545 6992.0 188
168.7500 7000.0 188
169.1510 6952.0 188
169.5575 6920.0 188
169.9530 6888.0 188
170.3540 6864.0 188
170.7605 6952.0 188
171.1560 7088.0 188
171.5625 7064.0 188
171.9635 6960.0 188
172.3590 6968.0 188
172.7655 6976.0 188
173.1665 6952.0 188
173.5620 6936.0 188
173.9685 6880.0 188
174.3750 6848.0 188
174.7650 6888.0 188
175.1715 6904.0 188
175.5780 6848.0 188
175.9680 6808.0 188
176.3745 6800.0 188
176.7810 6832.0 188
177.1710 6824.0 188
177.5775 6760.0 188
177.9840 6736.0 188
178.3740 6728.0 188
178.7805 6704.0 188
179.1870 6688.0 188
179.5770 6664.0 188
179.9835 6664.0 188
180.3900 6656.0 188
180.7965 6664.0 188
181.1865 6648.0 188
181.5930 6640.0 188
181.9995 6648.0 188
182.3895 6688.0 188
182.7960 6712.0 188
183.2025 6656.0 188
183.5925 6592.0 188
183.9990 6632.0 188
184.4055 6704.0 188
184.8120 6680.0 188
185.2020 6672.0 188
185.6085 6664.0 188
186.0150 6640.0 188
186.4050 6624.0 188
186.8115 6640.0 188
187.2180 6640.0 188
187.6080 6640.0 188
188.0145 6648.0 188
188.4210 6648.0 188
189.2175 6624.0 188
189.6240 6624.0 188
190.0305 6648.0 188
190.4205 6680.0 188
190.8270 6680.0 188
191.2335 6648.0 188
191.6235 6632.0 188
192.0300 6616.0 188
192.4365 6656.0 188
192.8265 6704.0 188
193.2330 6712.0 188
193.6395 6744.0 188
194.0460 6704.0 188
194.4360 6688.0 188
194.8425 6760.0 188
195.2490 6744.0 188
195.6390 6720.0 188
196.0455 6736.0 188
196.4520 6760.0 188
196.8420 6776.0 188
197.2485 6792.0 188
197.6550 6792.0 188
198.0615 6864.0 188
198.4515 6856.0 188
198.8580 6800.0 188
199.2645 6816.0 188
199.6545 6800.0 188
200.0610 6896.0 188
200.4675 6976.0 188
200.8575 6952.0 188
201.2640 6936.0 188
201.6705 6984.0 188
202.0605 7040.0 188
202.4670 7040.0 188
204.0765 6928.0 188
204.4830 6936.0 188
204.8730 7024.0 188
205.2795 7080.0 188
205.6860 7008.0 188
206.0760 7024.0 188
206.4825 7096.0 188
206.8890 7104.0 188
207.2955 7144.0 188
207.6855 7192.0 188
208.4985 7184.0 188
208.8885 6984.0 188
209.2950 7024.0 188
209.7015 7008.0 188
210.0916 7032.0 188
210.4980 7064.0 188
210.9045 7088.0 188
211.3110 7176.0 188
211.7010 7248.0 188
212.1075 7256.0 188
212.5140 7256.0 188
212.9041 7296.0 188
213.3105 7408.0 188
213.7170 7432.0 188
214.1071 7464.0 188
214.5135 7552.0 188
214.9200 7576.0 188
215.7166 7576.0 188
220.1385 6080.0 188
220.5286 6112.0 188
220.9351 6160.0 188
221.3251 6192.0 188
221.7316 6120.0 188
222.1216 6136.0 188
222.9181 6232.0 188
223.3246 5992.0 188
223.7311 5896.0 188
224.1211 5848.0 188
225.3241 5776.0 188
225.7141 5704.0 188
226.1206 5688.0 188
226.5106 5608.0 188
226.9171 5544.0 188
227.3236 5472.0 188
227.7136 5392.0 188
228.1201 5352.0 188
228.9166 5344.0 188
229.3121 5168.0 188
229.7186 5264.0 188
230.1086 5280.0 188
230.5151 5184.0 188
230.9216 5168.0 188
231.3116 5112.0 188
231.7181 5040.0 188
232.1082 4992.0 188
232.5146 4928.0 188
232.9047 4872.0 188
233.3112 4880.0 188
233.7012 4864.0 188
234.1077 4832.0 188
234.4977 4816.0 188
234.9042 4792.0 188
235.3107 4784.0 188
235.7007 4752.0 188
236.1072 4704.0 188
236.4972 4656.0 188
236.9037 4608.0 188
237.2937 4576.0 188
237.7002 4584.0 188
238.0902 4568.0 188
238.4967 4536.0 188
238.9032 4512.0 188
239.2932 4488.0 188
239.6997 4464.0 188
240.0897 4416.0 188
240.4962 4424.0 188
240.8862 4392.0 188
241.2927 4352.0 188
241.6827 4360.0 188
242.0892 4352.0 188
242.4957 4344.0 188
242.8857 4352.0 188
243.2922 4328.0 188
243.6823 4296.0 188
244.0887 4272.0 188
244.4843 4256.0 188
244.8853 4224.0 188
245.2808 4192.0 188
245.6873 4168.0 188
246.0773 4152.0 188
246.8903 4144.0 188
247.2803 4120.0 188
247.6868 4100.0 188
248.0768 4084.0 188
248.4833 4072.0 188
248.8733 4060.0 188
249.2798 4040.0 188
249.6698 4032.0 188
250.0763 4012.0 188
250.4828 3988.0 188
250.8728 3984.0 188
251.2793 3984.0 188
251.6693 3972.0 188
252.0758 3960.0 188
252.4658 3944.0 188
252.8723 3932.0 188
253.2623 3928.0 188
253.6688 3900.0 188
254.0753 3880.0 188
254.4653 3872.0 188
254.8718 3852.0 188
255.2618 3832.0 188
255.6683 3828.0 188
256.0583 3816.0 188
256.4648 3824.0 188
256.8549 3844.0 188
257.2614 3828.0 188
257.6678 3812.0 188
258.0743 3804.0 188
258.4808 3792.0 188
258.8873 3776.0 188
259.3103 3760.0 188
259.7168 3752.0 188
260.1233 3744.0 188
260.5463 3744.0 188
260.9528 3732.0 188
261.3593 3716.0 188
261.7603 3724.0 188
262.1832 3712.0 188
262.5897 3704.0 188
262.9962 3704.0 188
263.4192 3684.0 188
263.8257 3668.0 188
264.2322 3664.0 188
