PLIDAR SCAN DATA
#COUNT=1054
#Angule	Distance	Quality
182.0270 232.0 188
182.2632 232.0 188
182.4994 233.0 188
182.7466 233.0 188
182.9828 233.0 188
183.2135 233.0 188
183.4662 233.0 188
183.7024 233.0 188
183.9496 233.0 188
184.1858 233.0 188
184.4165 233.0 188
184.6692 233.0 188
184.9054 233.0 188
185.1361 234.0 188
185.3888 234.0 188
185.6250 235.0 188
185.8722 235.0 188
186.1084 235.0 188
186.3391 235.0 188
186.5753 235.0 188
186.8115 236.0 188
187.0422 236.0 188
187.2784 236.0 188
187.5146 237.0 188
187.7618 237.0 188
187.9980 237.0 188
188.2343 238.0 188
188.4650 238.0 188
188.7012 238.0 188
188.9374 239.0 188
189.1681 240.0 188
189.4208 240.0 188
189.6515 241.0 188
189.8877 241.0 188
190.1239 241.0 188
190.3546 241.0 188
190.5908 242.0 188
190.8270 243.0 188
191.0577 243.0 188
191.3104 242.0 188
191.5466 242.0 188
191.7773 241.0 188
192.0135 239.0 188
192.2498 238.0 188
192.4805 237.0 188
192.7167 236.0 188
192.9639 237.0 188
193.2001 237.0 188
193.4363 237.0 188
193.6670 238.0 188
193.9032 238.0 188
194.3701 239.0 188
194.8590 241.0 188
195.0897 242.0 188
196.5125 255.0 188
196.7487 257.0 188
196.9794 258.0 188
197.2156 259.0 188
197.4518 260.0 188
197.6825 261.0 188
197.9187 261.0 188
198.1714 262.0 188
198.4021 263.0 188
198.6383 264.0 188
198.8745 265.0 188
199.1052 265.0 188
199.3414 267.0 188
199.5776 268.0 188
199.8083 268.0 188
200.0610 270.0 188
200.7642 272.0 188
214.9036 2052.0 188
215.1398 2012.0 188
215.3705 1972.0 188
215.6067 1950.0 188
215.8429 1950.0 188
216.0736 1948.0 188
216.3098 1944.0 188
216.5460 1950.0 188
216.7767 1950.0 188
217.0129 1956.0 188
217.2491 1958.0 188
217.4799 1946.0 188
217.7161 1946.0 188
217.9523 1946.0 188
218.1830 1952.0 188
218.4192 1964.0 188
218.6554 1966.0 188
218.8861 1964.0 188
219.1223 1968.0 188
219.3585 1980.0 188
219.5892 1984.0 188
219.8254 1994.0 188
220.0616 2002.0 188
220.2924 1998.0 188
220.5286 2006.0 188
220.7648 2018.0 188
220.9955 2034.0 188
221.2317 2036.0 188
221.4679 2030.0 188
221.6986 2028.0 188
221.9348 2034.0 188
222.1710 2046.0 188
222.4017 2056.0 188
222.6379 2064.0 188
222.8741 2072.0 188
223.1049 2088.0 188
223.3411 2100.0 188
224.0442 2124.0 188
226.3898 2688.0 188
226.6205 2692.0 188
226.8567 2688.0 188
227.0929 2668.0 188
227.3236 2652.0 188
227.5598 2640.0 188
228.9661 2592.0 188
229.2023 2556.0 188
229.4330 2548.0 188
229.6692 2528.0 188
230.3723 2528.0 188
231.0919 3700.0 188
231.3281 3688.0 188
231.5424 3672.0 188
231.7786 3680.0 188
232.0148 3692.0 188
232.4817 3688.0 188
232.7179 3120.0 188
232.9486 3088.0 188
233.1848 3084.0 188
233.4210 3092.0 188
233.6517 3092.0 188
233.8879 3056.0 188
234.1241 3028.0 188
234.3549 3016.0 188
234.5911 3000.0 188
234.8273 3000.0 188
235.0580 3004.0 188
235.2942 3012.0 188
235.5304 2996.0 188
235.7611 2976.0 188
235.9973 2952.0 188
236.2335 2924.0 188
236.4642 2908.0 188
236.7004 2892.0 188
236.9366 2888.0 188
237.1674 2884.0 188
237.4036 2876.0 188
237.6398 2876.0 188
237.8705 2872.0 188
238.1067 2868.0 188
238.3429 2868.0 188
238.5736 2864.0 188
238.8098 2860.0 188
239.0460 2864.0 188
239.2767 2868.0 188
239.5129 2868.0 188
239.7491 2868.0 188
239.9799 2880.0 188
240.2161 2896.0 188
240.9192 2940.0 188
245.3577 12840.0 188
245.5884 12792.0 188
245.8246 12744.0 188
246.0608 12704.0 188
